id,date,description,amount,category
1,2024-01-05,Salary Credit,95000.00,Income
2,2024-01-07,Swiggy Order #112233,-420.00,Food & Dining
3,2024-01-09,,−310.00,Food & Dining
4,2024-01-11,Uber Ride,NOT_A_NUMBER,Transport
5,,Zepto Groceries,-950.00,Groceries
6,2024-01-13,Netflix Subscription,-649.00,
7,2024-01-14,BEST Bill,-2100.00,Utilities,EXTRA_COLUMN,ANOTHER_ONE
8,2024-01-15
9,2024-01-16,ATM Withdrawal,-5000.00,Cash
10,2024-13-01,PhonePe Transfer,-2000.00,Transfer
11,01-17-2024,Ola Ride,-210.00,Transport
12,2024-01-18,BigBasket Order,-1740.00,Groceries
13,2024/01/19,Spotify Premium,-119.00,Entertainment
14,2024-01-20,Doctor Consultation,+600.00,Healthcare
15,2024-01-21,,,
16,2024-01-22,Medplus Pharmacy,-890.00,Healthcare
17,2024-01-23,SIP - Zerodha,-10000.00,Investment
18,2024-01-24,Petrol,2800,Transport
19,2024-01-25,   ,-2600.00,Groceries
20,2024-01-26,BookMyShow Tickets,-700.00,Entertainment
21,2024-01-27,HDFC Payment,-12000.00,Finance
22,2024-01-28,Freelance,15000.00,Income
23,2024-01-29,Airtel Bill,-999.00,Utilities
24,2024-01-30,LIC Premium,-4500.00,Finance
25,2024-01-31,Swiggy Order #223344,-380.00,Food & Dining
26,2024-02-01,Salary Credit,95000.00,Income
27,2024-02-02,Blinkit,-560.00,Groceries
28,2024-02-03,YouTube Premium,₹189,Entertainment
29,2024-02-04,Rent,-28000.00,Housing
30,2024-02-05,null,-240.00,Transport
31,2024-02-06,undefined,-290.00,Food & Dining
32,2024-02-07,Gym,-2000.00,Health & Fitness
33,2024-02-08,Petrol,-3100.00,Transport
34,2024-02-09,Amazon,--1299.00,Shopping
35,2024-02-10,Zomato Order,-340.00,Food & Dining
